region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2016,1024,785.7,633.1,820.3,2239.1,0.29,6.932447891572508,7.714275786709766
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2017,1157,187.6,237.0,727.0,1151.6,0.29,7.05444965813294,7.049775539002566
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2018,1425,588.5,2674.0,994.1,4256.6,0.29,7.262628600974241,8.356460900223425
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2019,3087,1663.0,786.0,841.7,3290.7,0.28,8.035278911144667,8.099159427632218
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2020,1647,2457.5,1638.0,1211.0,5306.5,0.29,7.407317710469417,8.57687619357741
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2021,1678,2355.0,3190.0,909.0,6454.0,0.29,7.425953657077541,8.772610303280743
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2022,1702,4705.0,3584.3,,8289.3,0.31,7.440146680662688,9.022841435653092
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2023,1977,3963.0,7104.0,,11067.0,0.33,7.589841512182657,9.311813340906816
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2024,1921,5597.0,9934.0,,15531.0,0.33,7.561121589530238,9.650657690851558
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2015,397,9.4,473.2,625.8,1108.4,0.19,5.986452005284438,7.011574607621133
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2016,547,,445.5,539.1,984.6,0.09,6.306275286948015,6.893250592779255
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2017,1034,,998.0,1656.0,2654.0,0.09,6.942156705699469,7.884199933676039
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2018,1488,451.1,200.3,931.3,1582.7,0.09,7.305860032684008,7.36751916049768
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2019,728,193.0,380.0,1374.4,1947.4,0.1,6.591673732008658,7.574763801932387
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2020,3725,12.4,590.8,900.0,1503.2,0.09,8.223090551161533,7.316016474392303
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2021,4228,324.0,84.0,1559.0,1967.0,0.34,8.34972083747249,7.584773077612199
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2022,4433,125.0,1441.4,,1566.4,0.44,8.397057390176256,7.357173474618764
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2023,4109,89.0,3387.0,,3476.0,0.44,8.32117830749028,8.153925132007862
Кызылординская,Кызылординская,kyzylorda,Kyzylorda,Кызылординская,2024,3797,277.0,2953.0,,3230.0,0.44,8.242229891372231,8.080546965824498
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2015,223,,,235.8,235.8,0.02,5.41164605185504,5.46721590300985
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2016,258,,,847.7,847.7,0.01,5.556828061699537,6.743705766975631
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2017,339,486.0,,224.0,710.0,0.02,5.828945617610207,6.566672429803241
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2018,486,,0.0,381.6,381.6,0.01,6.18826412308259,5.946990057006152
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2019,597,4.0,265.1,571.2,840.3000000000001,0.01,6.393590753950631,6.734948314556767
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2020,655,,214.8,905.6,1120.4,0.17,6.486160788944089,7.022333183689572
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2021,736,,527.0,886.0,1413.0,0.33,6.602587892189336,7.254177846456518
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2022,980,,1143.0,,1143.0,0.26,6.888572459565363,7.042286171939743
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2023,1168,11.0,1081.0,,1092.0,0.25,7.063903961472068,6.996681488176538
Мангистауская,Мангистауская,mangystau,Mangystau,Мангистауская,2024,1068,41.0,900.0,,941.0,0.24,6.974478911025045,6.848005274576363
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2015,528,278.8,541.8,317.7,1138.3,0.24,6.270988431858299,7.03816931770407
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2016,542,459.7,466.8,493.9,1420.4,0.05,6.297109319933935,7.259397580392795
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2017,525,40.7,273.7,625.0,939.4,0.16,6.265301212737709,6.846305316665914
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2018,553,387.7,746.1,500.8,1634.6,0.23,6.317164686747284,7.399764988490487
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2019,1435,1431.0,1306.1,896.7,3633.8,0.24,7.269616749608169,8.198309367821192
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2020,617,1419.9,1212.3,1260.2,3892.4,0.17,6.42648845745769,8.267038090855177
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2021,742,2483.0,316.0,1074.0,3873.0,0.17,6.610696044717759,8.262042843966942
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2022,1178,4742.0,2776.3,,7518.3,0.17,7.07242190053737,8.925228327504815
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2023,1404,3514.0,2691.0,,6205.0,0.17,7.247792581767846,8.733271845008325
Павлодарская,Павлодарская,pavlodar,Pavlodar,Павлодарская,2024,1382,2571.0,3913.0,,6484.0,0.65,7.232010331664758,8.777247096750544
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2015,506,144.7,2687.8,320.6,3153.1,5.93,6.228511003591183,8.056458472790816
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2016,542,216.7,408.8,445.7,1071.2,2.66,6.297109319933935,6.977467891393437
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2017,635,61.4,571.5,882.0,1514.9,2.66,6.455198563340122,7.323764600965973
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2018,823,722.4,887.8,763.7,2373.9,2.77,6.714170529909471,7.772710610319132
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2019,1687,1639.0,977.1,1633.7,4249.8,2.8,7.431299675155902,8.35486247949854
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2020,1108,1561.4,1384.4,2180.8,5126.6,0.21,7.011213987350366,8.54239299243798
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2021,1105,3101.0,1036.0,1127.0,5264.0,0.22,7.008505182082279,8.568836424568076
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2022,1235,3320.0,1860.0,,5180.0,0.22,7.119635638017636,8.552753366814787
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2023,1352,2886.0,1976.0,,4862.0,0.23,7.210079628170788,8.489410810403786
Северо_Казахстанская,Северо Казахстанская,north_kazakhstan,North Kazakhstan,Северо-Казахстанская,2024,1229,3038.0,3719.0,,6757.0,3.3,7.114769448366463,8.818482267274234
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2015,165,76.8,,,76.8,,5.111987788356543,4.354141431184345
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2016,75,,,,,,4.330733340286331,
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2017,202,2276.3,,,2276.3,,5.313205979041787,7.730745809690832
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2018,221,7.8,,,7.8,,5.402677381872279,2.174751721484161
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2019,376,,,129.3,129.3,,5.932245187448011,4.869839484130799
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2020,337,,1184.4,760.0,1944.4,,5.823045895483019,7.57322289043534
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2021,396,229.0,,913.0,1142.0,,5.98393628068719,7.04141166379481
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2022,832,,,,,,6.725033642166842,
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2023,1177,89.0,629.0,,718.0,,7.071573364211532,6.577861357721046
г._Алматы,г. Алматы,almaty_city,Almaty City,г. Алматы,2024,1461,34.0,2568.0,,2602.0,,7.287560640309724,7.864419904994565
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2016,14,,,,,,2.70805020110221,
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2017,35,,,,,,3.58351893845611,
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2018,61,46.4,,,46.4,,4.127134385045092,3.858622228701031
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2019,185,,,250.3,250.3,,5.225746673713201,5.526647444549546
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2020,112,,1058.5,721.3,1779.8,,4.727387818712341,7.48481798052128
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2021,169,163.0,,813.0,976.0,,5.135798437050261,6.884486652042782
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2022,378,418.0,,,418.0,,5.937536205082426,6.037870919922137
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2023,674,217.0,1286.0,,1503.0,,6.514712690872529,7.315883504509785
г._Астана,г. Астана,astana_city,Astana City,г. Астана,2024,801,96.0,72963.0,,73059.0,,6.687108607866514,11.19903630034927
Ұлытау,Ұлытау,ulytau,Ulytau,Ұлытау,2022,933,182.0,67.2,,249.2,0.48,6.839476438228842,5.52226059803281
Ұлытау,Ұлытау,ulytau,Ulytau,Ұлытау,2023,1057,177.0,732.0,,909.0,3.28,6.964135612418245,6.813444599510896
Ұлытау,Ұлытау,ulytau,Ulytau,Ұлытау,2024,1041,141.0,601.0,,742.0,0.52,6.948897222313312,6.610696044717759
