region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total,lag1_log_women_farms,lag1_log_credit_total,log_credit_kaf,lag1_log_credit_kaf,log_credit_acc,lag1_log_credit_acc,log_credit_fund,lag1_log_credit_fund,year_fe
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2024,20253,1961.0,11139.0,,13100.0,2.17,9.91610758389223,9.48044384215367,9.93071353878972,9.236884927198297,7.581719640125308,7.571473648851271,9.318297513481275,9.027378610294805,,,2024
Абай,Абай,abai,Abai,Абай,2022,2417,1333.0,1708.2,,3041.2,2.76,7.790696031174738,8.020336216877642,,,7.195937226475569,,7.44378070376987,,,,2022
Абай,Абай,abai,Abai,Абай,2023,2717,1954.0,2090.0,,4044.0,0.75,7.907651594711089,8.305236829492591,7.790696031174738,8.020336216877642,7.578145472419466,7.195937226475569,7.645397699428633,7.44378070376987,,,2023
Абай,Абай,abai,Abai,Абай,2024,2739,1827.0,2568.0,,4395.0,1.53,7.915713199382115,8.388450315523512,7.907651594711089,8.305236829492591,7.510977752014095,7.578145472419466,7.851271997109883,7.645397699428633,,,2024
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2015,563,636.2,2363.0,399.9,3399.1,4.9,6.335054251498058,8.131560121936442,,,6.457083578035894,,7.768110378525988,,5.993712019648461,,2015
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2016,593,1718.0,1019.3,437.5,3174.8,4.92,6.386879319362644,8.063314848091997,6.335054251498058,8.131560121936442,7.449498005382849,6.457083578035894,6.927851980681259,7.768110378525988,6.083359811812238,5.993712019648461,2016
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2017,759,887.0,809.8,623.0,2319.8,3.75,6.633318433280377,7.749667232807194,6.386879319362644,8.063314848091997,6.78897174299217,7.449498005382849,6.698021414577845,6.927851980681259,6.436150368369428,6.083359811812238,2017
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2018,978,1136.2,8721.6,1177.7,11035.5,3.21,6.88653164253051,9.308963240581264,6.633318433280377,7.749667232807194,7.036324379776845,6.78897174299217,9.07367263759825,6.698021414577845,7.072167415232524,6.436150368369428,2018
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2019,1566,1030.0,4487.2,1341.3,6858.5,3.17,7.356918242356021,8.833389831766219,6.88653164253051,9.308963240581264,6.93828448401696,7.036324379776845,8.409207009489476,9.07367263759825,7.20213983949359,7.072167415232524,2019
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2020,1490,1198.7,1045.0,1265.8,3509.5,1.74,7.307202314764738,8.163513756457304,7.356918242356021,8.833389831766219,7.089826804520882,6.93828448401696,6.952728644624869,8.409207009489476,7.144249314664485,7.20213983949359,2020
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2021,1528,2281.0,2335.0,1329.0,5945.0,1.6,7.332369205929062,8.690474003558043,7.307202314764738,8.163513756457304,7.732807530422021,7.089826804520882,7.756195343948118,6.952728644624869,7.1929342212158,7.144249314664485,2021
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2022,1714,3952.0,7596.0,,11548.0,1.53,7.44716835960004,9.354354132115088,7.332369205929062,8.690474003558043,8.282230063296685,7.732807530422021,8.935508711503221,7.756195343948118,,7.1929342212158,2022
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2023,1859,4215.0,6423.0,,10638.0,1.53,7.528331766707247,9.272281773516363,7.44716835960004,9.354354132115088,8.346642090221199,8.282230063296685,8.767796255626598,8.935508711503221,,,2023
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2024,1777,4636.0,10831.0,,15467.0,1.29,7.48324441607385,9.646528652727188,7.528331766707247,9.272281773516363,8.441822884391462,8.346642090221199,9.290259995152056,8.767796255626598,,,2024
